event_id,year,state,county_fips,county_name,event_type,wind_speed_mph,hail_size_inches,flood_depth_feet,storm_duration_hours,property_damage_usd
NOAA20000107300,2000,AL,01073,Jefferson,Hail,81.9,1.51,0.0,1.7,121768
NOAA20000107301,2000,AL,01073,Jefferson,Tornado,94.9,1.37,0.0,3.0,47990
NOAA20000107302,2000,AL,01073,Jefferson,Thunderstorm Wind,87.1,0.0,0.0,8.7,88934
NOAA20000107303,2000,AL,01073,Jefferson,Hail,57.2,0.92,0.0,0.6,230220
NOAA20000107304,2000,AL,01073,Jefferson,Hail,82.8,1.91,0.0,9.3,11052
NOAA20000107305,2000,AL,01073,Jefferson,Hail,99.1,0.83,0.0,9.8,137378
NOAA20000107306,2000,AL,01073,Jefferson,Hail,98.2,1.74,0.0,7.7,170184
NOAA20000109700,2000,AL,01097,Mobile,Hurricane (Typhoon),101.4,0.0,2.19,1.4,27495
NOAA20000109701,2000,AL,01097,Mobile,Flash Flood,109.7,0.0,0.65,2.4,22225
NOAA20000109702,2000,AL,01097,Mobile,Hurricane (Typhoon),104.8,0.0,3.17,7.5,4304
NOAA20000109703,2000,AL,01097,Mobile,Thunderstorm Wind,84.9,0.0,0.0,5.8,69734
NOAA20000109704,2000,AL,01097,Mobile,Flash Flood,112.2,0.0,0.95,3.1,13736
NOAA20000109705,2000,AL,01097,Mobile,Flash Flood,131.4,0.0,2.81,7.0,116146
NOAA20000109706,2000,AL,01097,Mobile,Flash Flood,63.4,0.0,3.18,5.8,16673
NOAA20000109707,2000,AL,01097,Mobile,Hurricane (Typhoon),66.0,0.0,1.78,5.4,43208
NOAA20000401300,2000,AZ,04013,Maricopa,Flash Flood,34.8,0.0,0.31,1.8,61455
NOAA20000401301,2000,AZ,04013,Maricopa,Flash Flood,38.0,0.0,0,7.4,17401
NOAA20000401302,2000,AZ,04013,Maricopa,Winter Storm,24.9,0.0,0.0,10.4,27927
NOAA20000401303,2000,AZ,04013,Maricopa,Flash Flood,36.9,0.0,0,3.9,94262
NOAA20000401304,2000,AZ,04013,Maricopa,Winter Storm,36.6,0.0,0.0,1.7,93323
NOAA20000401305,2000,AZ,04013,Maricopa,Winter Storm,13.6,0.0,0.0,7.5,9807
NOAA20000401306,2000,AZ,04013,Maricopa,Winter Storm,56.2,0.0,0.0,6.1,8016
NOAA20000401307,2000,AZ,04013,Maricopa,Flash Flood,23.1,0.0,0.14,7.0,12474
NOAA20000401308,2000,AZ,04013,Maricopa,Winter Storm,48.3,0.0,0.0,6.0,27765
NOAA20000511900,2000,AR,05119,Pulaski,Thunderstorm Wind,64.4,0.0,0.0,11.2,175281
NOAA20000511901,2000,AR,05119,Pulaski,Tornado,55.8,3.01,0.0,8.0,21423
NOAA20000511902,2000,AR,05119,Pulaski,Thunderstorm Wind,78.1,0.0,0.0,0.7,51139
NOAA20000511903,2000,AR,05119,Pulaski,Thunderstorm Wind,84.5,0.0,0.0,1.3,59957
NOAA20000511904,2000,AR,05119,Pulaski,Thunderstorm Wind,82.4,0.0,0.0,3.2,64144
NOAA20000511905,2000,AR,05119,Pulaski,Thunderstorm Wind,72.7,0.0,0.0,8.8,232919
NOAA20000511906,2000,AR,05119,Pulaski,Thunderstorm Wind,85.1,0.0,0.0,2.7,9897
NOAA20000511907,2000,AR,05119,Pulaski,Hail,46.1,0.18,0.0,1.1,56289
NOAA20000511908,2000,AR,05119,Pulaski,Thunderstorm Wind,97.0,0.0,0.0,5.1,4437
NOAA20000511909,2000,AR,05119,Pulaski,Thunderstorm Wind,86.0,0.0,0.0,2.1,12790
NOAA20000603700,2000,CA,06037,Los Angeles,Thunderstorm Wind,6.5,0.0,0.0,6.8,854
NOAA20000603701,2000,CA,06037,Los Angeles,Thunderstorm Wind,52.5,0.0,0.0,10.4,70769
NOAA20000603702,2000,CA,06037,Los Angeles,Thunderstorm Wind,54.1,0.0,0.0,9.5,23038
NOAA20000603703,2000,CA,06037,Los Angeles,Wildfire,38.7,0.0,0.0,11.9,29090
NOAA20000603704,2000,CA,06037,Los Angeles,Thunderstorm Wind,44.7,0.0,0.0,1.2,37473
NOAA20000603705,2000,CA,06037,Los Angeles,Flash Flood,51.7,0.0,1.29,6.3,61197
NOAA20000603706,2000,CA,06037,Los Angeles,Wildfire,48.4,0.0,0.0,1.4,4900
NOAA20000603707,2000,CA,06037,Los Angeles,Wildfire,51.8,0.0,0.0,11.3,36411
NOAA20000603708,2000,CA,06037,Los Angeles,Thunderstorm Wind,26.0,0.0,0.0,7.6,8719
NOAA20000603709,2000,CA,06037,Los Angeles,Wildfire,34.3,0.0,0.0,8.2,10187
NOAA20000603710,2000,CA,06037,Los Angeles,Thunderstorm Wind,52.8,0.0,0.0,8.2,14458
NOAA20000607300,2000,CA,06073,San Diego,Flash Flood,31.0,0.0,0,1.6,18131
NOAA20000607301,2000,CA,06073,San Diego,Thunderstorm Wind,22.0,0.0,0.0,11.2,7996
NOAA20000607302,2000,CA,06073,San Diego,Winter Storm,30.9,0.0,0.0,11.9,39226
NOAA20000607303,2000,CA,06073,San Diego,Winter Storm,14.3,0.0,0.0,1.7,20602
NOAA20000607304,2000,CA,06073,San Diego,Thunderstorm Wind,37.5,0.0,0.0,3.7,7573
NOAA20000607305,2000,CA,06073,San Diego,Winter Storm,27.5,0.0,0.0,7.8,5317
NOAA20000607306,2000,CA,06073,San Diego,Thunderstorm Wind,53.8,0.0,0.0,3.7,39431
NOAA20000607307,2000,CA,06073,San Diego,Winter Storm,48.4,0.0,0.0,5.6,63471
NOAA20000803100,2000,CO,08031,Denver,Tornado,83.0,2.72,0.0,10.1,50657
NOAA20000803101,2000,CO,08031,Denver,Hail,42.2,2.65,0.0,11.2,8402
NOAA20000803102,2000,CO,08031,Denver,Tornado,59.5,2.93,0.0,10.7,17899
NOAA20000803103,2000,CO,08031,Denver,Hail,73.9,2.49,0.0,2.4,78237
NOAA20000803104,2000,CO,08031,Denver,Thunderstorm Wind,49.0,0.0,0.0,0.8,50801
NOAA20000803105,2000,CO,08031,Denver,Thunderstorm Wind,66.6,0.0,0.0,9.8,3482
NOAA20000803106,2000,CO,08031,Denver,Hail,21.0,1.98,0.0,5.9,1871
NOAA20000803107,2000,CO,08031,Denver,Hail,58.4,2.25,0.0,5.1,17892
NOAA20000803108,2000,CO,08031,Denver,Thunderstorm Wind,81.1,0.0,0.0,4.5,43075
NOAA20000803109,2000,CO,08031,Denver,Tornado,52.9,2.22,0.0,10.6,8192
NOAA20000803110,2000,CO,08031,Denver,Thunderstorm Wind,78.6,0.0,0.0,4.5,111880
NOAA20000803111,2000,CO,08031,Denver,Tornado,60.8,3.06,0.0,2.7,5761
NOAA20000803112,2000,CO,08031,Denver,Tornado,80.6,2.77,0.0,8.8,182835
NOAA20000804100,2000,CO,08041,El Paso,Thunderstorm Wind,18.1,0.0,0.0,11.1,19219
NOAA20000804101,2000,CO,08041,El Paso,Hail,76.4,2.3,0.0,4.1,27862
NOAA20000804102,2000,CO,08041,El Paso,Thunderstorm Wind,43.1,0.0,0.0,6.9,3244
NOAA20000804103,2000,CO,08041,El Paso,Thunderstorm Wind,40.9,0.0,0.0,7.6,8260
NOAA20000804104,2000,CO,08041,El Paso,Hail,23.1,2.26,0.0,9.5,15969
NOAA20000804105,2000,CO,08041,El Paso,Thunderstorm Wind,69.7,0.0,0.0,5.6,11384
NOAA20001205700,2000,FL,12057,Hillsborough,Thunderstorm Wind,86.3,0.0,0.0,8.1,11479
NOAA20001205701,2000,FL,12057,Hillsborough,Hurricane (Typhoon),88.0,0.0,4.07,9.1,69614
NOAA20001205702,2000,FL,12057,Hillsborough,Thunderstorm Wind,108.3,0.0,0.0,11.8,145652
NOAA20001205703,2000,FL,12057,Hillsborough,Flash Flood,109.4,0.0,1.83,2.7,121670
NOAA20001205704,2000,FL,12057,Hillsborough,Thunderstorm Wind,118.0,0.0,0.0,2.2,122888
NOAA20001205705,2000,FL,12057,Hillsborough,Hurricane (Typhoon),99.3,0.0,2.77,3.4,185733
NOAA20001205706,2000,FL,12057,Hillsborough,Flash Flood,78.5,0.0,0.73,7.3,89663
NOAA20001205707,2000,FL,12057,Hillsborough,Hurricane (Typhoon),69.9,0.0,3.57,5.6,23099
NOAA20001205708,2000,FL,12057,Hillsborough,Hurricane (Typhoon),99.7,0.0,4.17,6.1,19118
NOAA20001205709,2000,FL,12057,Hillsborough,Hurricane (Typhoon),101.8,0.0,3.42,4.2,56024
NOAA20001205710,2000,FL,12057,Hillsborough,Thunderstorm Wind,97.3,0.0,0.0,3.0,37439
NOAA20001205711,2000,FL,12057,Hillsborough,Flash Flood,112.0,0.0,2.33,5.3,415354
NOAA20001208600,2000,FL,12086,Miami-Dade,Hurricane (Typhoon),151.8,0.0,3.4,7.1,33173
NOAA20001208601,2000,FL,12086,Miami-Dade,Flash Flood,115.8,0.0,1.63,11.5,29917
NOAA20001208602,2000,FL,12086,Miami-Dade,Hurricane (Typhoon),126.8,0.0,1.57,6.1,25550
NOAA20001208603,2000,FL,12086,Miami-Dade,Flash Flood,101.0,0.0,4.23,5.1,13836
NOAA20001208604,2000,FL,12086,Miami-Dade,Thunderstorm Wind,137.1,0.0,0.0,10.9,120170
NOAA20001208605,2000,FL,12086,Miami-Dade,Thunderstorm Wind,112.3,0.0,0.0,7.9,13940
NOAA20001208606,2000,FL,12086,Miami-Dade,Thunderstorm Wind,114.0,0.0,0.0,5.7,3538
NOAA20001208607,2000,FL,12086,Miami-Dade,Flash Flood,131.0,0.0,3.22,3.4,27090
NOAA20001208608,2000,FL,12086,Miami-Dade,Hurricane (Typhoon),81.0,0.0,3.39,3.3,256093
NOAA20001209500,2000,FL,12095,Orange,Thunderstorm Wind,116.8,0.0,0.0,7.0,8460
NOAA20001209501,2000,FL,12095,Orange,Flash Flood,117.1,0.0,2.94,9.1,14164
NOAA20001209502,2000,FL,12095,Orange,Hurricane (Typhoon),119.4,0.0,3.05,11.3,13024
NOAA20001209503,2000,FL,12095,Orange,Hurricane (Typhoon),88.5,0.0,2.46,4.0,311181
NOAA20001209504,2000,FL,12095,Orange,Hurricane (Typhoon),125.8,0.0,2.55,5.4,36679
NOAA20001209505,2000,FL,12095,Orange,Flash Flood,81.7,0.0,3.23,6.1,32961
NOAA20001209506,2000,FL,12095,Orange,Flash Flood,99.5,0.0,2.17,8.9,184900
NOAA20001209507,2000,FL,12095,Orange,Hurricane (Typhoon),79.4,0.0,2.54,10.0,52576
NOAA20001308900,2000,GA,13089,DeKalb,Thunderstorm Wind,75.7,0.0,0.0,10.6,14133
NOAA20001308901,2000,GA,13089,DeKalb,Tornado,65.3,0.63,0.0,6.2,16165
NOAA20001308902,2000,GA,13089,DeKalb,Hail,57.8,1.06,0.0,10.6,51218
NOAA20001308903,2000,GA,13089,DeKalb,Thunderstorm Wind,56.3,0.0,0.0,6.4,12172
NOAA20001703100,2000,IL,17031,Cook,Thunderstorm Wind,64.7,0.0,0.0,8.4,58352
NOAA20001703101,2000,IL,17031,Cook,Thunderstorm Wind,62.6,0.0,0.0,8.5,12063
NOAA20001703102,2000,IL,17031,Cook,Flash Flood,59.0,0.0,0,12.0,34619
NOAA20001703103,2000,IL,17031,Cook,Flash Flood,46.6,0.0,0.52,1.9,11355
NOAA20001716700,2000,IL,17167,Sangamon,Tornado,94.3,1.02,0.0,2.7,92967
NOAA20001716701,2000,IL,17167,Sangamon,Tornado,89.7,1.19,0.0,3.8,16165
NOAA20001716702,2000,IL,17167,Sangamon,Thunderstorm Wind,58.2,0.0,0.0,8.6,7966
NOAA20001716703,2000,IL,17167,Sangamon,Thunderstorm Wind,79.7,0.0,0.0,7.8,71166
NOAA20001716704,2000,IL,17167,Sangamon,Thunderstorm Wind,49.9,0.0,0.0,5.6,141941
NOAA20001716705,2000,IL,17167,Sangamon,Thunderstorm Wind,58.9,0.0,0.0,5.1,2763
NOAA20001716706,2000,IL,17167,Sangamon,Thunderstorm Wind,87.0,0.0,0.0,11.4,13969
NOAA20001716707,2000,IL,17167,Sangamon,Tornado,94.8,1.37,0.0,9.6,14524
NOAA20001716708,2000,IL,17167,Sangamon,Hail,43.5,1.72,0.0,7.3,15486
NOAA20001716709,2000,IL,17167,Sangamon,Thunderstorm Wind,59.8,0.0,0.0,7.5,13948
NOAA20001809700,2000,IN,18097,Marion,Thunderstorm Wind,61.1,0.0,0.0,6.8,9243
NOAA20001809701,2000,IN,18097,Marion,Tornado,57.6,1.12,0.0,3.2,120881
NOAA20001809702,2000,IN,18097,Marion,Hail,81.8,1.59,0.0,3.5,176399
NOAA20001809703,2000,IN,18097,Marion,Thunderstorm Wind,49.9,0.0,0.0,7.9,5151
NOAA20001809704,2000,IN,18097,Marion,Tornado,80.2,1.97,0.0,5.9,20417
NOAA20001809705,2000,IN,18097,Marion,Hail,60.8,0.7,0.0,1.4,5735
NOAA20001809706,2000,IN,18097,Marion,Hail,69.9,1.29,0.0,3.1,457780
NOAA20001915300,2000,IA,19153,Polk,Tornado,141.5,0.88,0.0,8.2,191616
NOAA20001915301,2000,IA,19153,Polk,Tornado,60.4,1.77,0.0,12.0,14839
NOAA20001915302,2000,IA,19153,Polk,Thunderstorm Wind,55.9,0.0,0.0,4.2,10595
NOAA20001915303,2000,IA,19153,Polk,Hail,77.5,1.43,0.0,11.4,162702
NOAA20001915304,2000,IA,19153,Polk,Hail,60.1,1.99,0.0,1.8,123491
NOAA20001915305,2000,IA,19153,Polk,Thunderstorm Wind,81.2,0.0,0.0,2.7,12622
NOAA20001915306,2000,IA,19153,Polk,Tornado,68.5,1.67,0.0,3.6,11784
NOAA20002009100,2000,KS,20091,Johnson,Thunderstorm Wind,65.9,0.0,0.0,11.7,44239
NOAA20002009101,2000,KS,20091,Johnson,Thunderstorm Wind,78.9,0.0,0.0,5.2,56512
NOAA20002009102,2000,KS,20091,Johnson,Tornado,82.8,1.76,0.0,5.3,38668
NOAA20002009103,2000,KS,20091,Johnson,Hail,107.2,1.44,0.0,11.1,61690
NOAA20002009104,2000,KS,20091,Johnson,Thunderstorm Wind,74.4,0.0,0.0,3.7,103208
NOAA20002009105,2000,KS,20091,Johnson,Tornado,79.9,2.04,0.0,8.8,208819
NOAA20002009106,2000,KS,20091,Johnson,Tornado,69.8,2.02,0.0,6.7,17131
NOAA20002009107,2000,KS,20091,Johnson,Tornado,50.0,2.97,0.0,10.5,4691
NOAA20002009108,2000,KS,20091,Johnson,Hail,108.6,2.27,0.0,8.6,154278
NOAA20002009109,2000,KS,20091,Johnson,Tornado,86.9,1.16,0.0,2.2,182312
NOAA20002017300,2000,KS,20173,Sedgwick,Thunderstorm Wind,102.5,0.0,0.0,6.5,37235
NOAA20002017301,2000,KS,20173,Sedgwick,Hail,114.8,1.05,0.0,1.4,126290
NOAA20002017302,2000,KS,20173,Sedgwick,Tornado,72.8,1.39,0.0,10.3,25357
NOAA20002017303,2000,KS,20173,Sedgwick,Tornado,97.8,1.75,0.0,6.7,67072
NOAA20002017304,2000,KS,20173,Sedgwick,Tornado,136.6,1.21,0.0,9.1,58741
NOAA20002017305,2000,KS,20173,Sedgwick,Tornado,79.6,1.94,0.0,2.4,27134
NOAA20002017306,2000,KS,20173,Sedgwick,Hail,74.9,2.44,0.0,6.6,72034
NOAA20002017307,2000,KS,20173,Sedgwick,Thunderstorm Wind,93.2,0.0,0.0,4.9,98702
NOAA20002017308,2000,KS,20173,Sedgwick,Tornado,104.0,2.62,0.0,3.4,80276
NOAA20002017309,2000,KS,20173,Sedgwick,Hail,97.7,3.87,0.0,3.9,43009
NOAA20002017310,2000,KS,20173,Sedgwick,Hail,64.0,2.37,0.0,4.9,21186
NOAA20002017311,2000,KS,20173,Sedgwick,Tornado,75.2,1.74,0.0,8.1,12902
NOAA20002203300,2000,LA,22033,East Baton Rouge,Hurricane (Typhoon),98.6,0.0,0.38,11.0,1009574
