event_id,year,state,county_fips,county_name,event_type,wind_speed_mph,hail_size_inches,flood_depth_feet,storm_duration_hours,property_damage_usd
NOAA20000109706,2000,AL,1097,Mobile,Flash Flood,63.4,0.0,3.18,5.8,16673
NOAA20000511908,2000,AR,5119,Pulaski,Thunderstorm Wind,97.0,0.0,0.0,5.1,4437
NOAA20000511909,2000,AR,5119,Pulaski,Thunderstorm Wind,86.0,0.0,0.0,2.1,12790
NOAA20000401304,2000,AZ,4013,Maricopa,Winter Storm,36.6,0.0,0.0,1.7,93323
NOAA20000603706,2000,CA,6037,Los Angeles,Wildfire,48.4,0.0,0.0,1.4,4900
NOAA20000607303,2000,CA,6073,San Diego,Winter Storm,14.3,0.0,0.0,1.7,20602
NOAA20000803104,2000,CO,8031,Denver,Thunderstorm Wind,49.0,0.0,0.0,0.8,50801
NOAA20000803108,2000,CO,8031,Denver,Thunderstorm Wind,81.1,0.0,0.0,4.5,43075
NOAA20001205701,2000,FL,12057,Hillsborough,Hurricane (Typhoon),88.0,0.0,4.07,9.1,69614
NOAA20001205703,2000,FL,12057,Hillsborough,Flash Flood,109.4,0.0,1.83,2.7,121670
NOAA20001208600,2000,FL,12086,Miami-Dade,Hurricane (Typhoon),151.8,0.0,3.4,7.1,33173
NOAA20001308900,2000,GA,13089,DeKalb,Thunderstorm Wind,75.7,0.0,0.0,10.6,14133
NOAA20001915304,2000,IA,19153,Polk,Hail,60.1,1.99,0.0,1.8,123491
NOAA20001703102,2000,IL,17031,Cook,Flash Flood,59.0,0.0,0.0,12.0,34619
NOAA20001703103,2000,IL,17031,Cook,Flash Flood,46.6,0.0,0.52,1.9,11355
NOAA20001716702,2000,IL,17167,Sangamon,Thunderstorm Wind,58.2,0.0,0.0,8.6,7966
NOAA20001809700,2000,IN,18097,Marion,Thunderstorm Wind,61.1,0.0,0.0,6.8,9243
NOAA20001809704,2000,IN,18097,Marion,Tornado,80.2,1.97,0.0,5.9,20417
NOAA20002017306,2000,KS,20173,Sedgwick,Hail,74.9,2.44,0.0,6.6,72034
NOAA20002203306,2000,LA,22033,East Baton Rouge,Flash Flood,82.3,0.0,3.16,10.5,133649
NOAA20002608106,2000,MI,26081,Kent,Flash Flood,37.5,0.0,1.15,5.3,4379
NOAA20002705300,2000,MN,27053,Hennepin,Thunderstorm Wind,73.8,0.0,0.0,9.3,22548
NOAA20002705304,2000,MN,27053,Hennepin,Tornado,68.8,0.88,0.0,10.2,9514
