Dataset,Variable,Missing Count,Missing Percentage,Treatment
NOAA,event_id,0,0.0,No treatment required
NOAA,year,0,0.0,No treatment required
NOAA,state,0,0.0,No treatment required
NOAA,county_fips,0,0.0,No treatment required
NOAA,county_name,0,0.0,No treatment required
NOAA,event_type,0,0.0,No treatment required
NOAA,wind_speed_mph,0,0.0,No treatment required
NOAA,hail_size_inches,0,0.0,No treatment required
NOAA,flood_depth_feet,0,0.0,No treatment required
NOAA,storm_duration_hours,0,0.0,No treatment required
NOAA,property_damage_usd,0,0.0,No treatment required
ACS,year,0,0.0,No treatment required
ACS,state,0,0.0,No treatment required
ACS,county_fips,0,0.0,No treatment required
ACS,county_name,0,0.0,No treatment required
ACS,median_income_usd,0,0.0,No treatment required
ACS,population_density_per_sq_mi,0,0.0,No treatment required
ACS,housing_age_median_years,0,0.0,No treatment required
ACS,construction_type,0,0.0,No treatment required
ACS,vacancy_rate_pct,0,0.0,No treatment required
ACS,homeownership_rate_pct,0,0.0,No treatment required
ACS,pct_units_pre1980,0,0.0,No treatment required
NFIP,year,0,0.0,No treatment required
NFIP,state,0,0.0,No treatment required
NFIP,county_fips,0,0.0,No treatment required
NFIP,county_name,0,0.0,No treatment required
NFIP,nfip_claim_count,0,0.0,No treatment required
NFIP,avg_building_payout_usd,0,0.0,No treatment required
NFIP,avg_contents_payout_usd,0,0.0,No treatment required
NFIP,total_nfip_payout_usd,0,0.0,No treatment required
