Dataset,Variable,Original Data Type,Final Data Type
NOAA,event_id,object,object
NOAA,year,int64,Int64
NOAA,state,object,string
NOAA,county_fips,int64,string
NOAA,county_name,object,string
NOAA,event_type,object,object
NOAA,wind_speed_mph,float64,float64
NOAA,hail_size_inches,float64,float64
NOAA,flood_depth_feet,float64,float64
NOAA,storm_duration_hours,float64,float64
NOAA,property_damage_usd,int64,int64
ACS,year,int64,Int64
ACS,state,object,string
ACS,county_fips,int64,string
ACS,county_name,object,string
ACS,median_income_usd,int64,int64
ACS,population_density_per_sq_mi,int64,int64
ACS,housing_age_median_years,int64,int64
ACS,construction_type,object,object
ACS,vacancy_rate_pct,float64,float64
ACS,homeownership_rate_pct,float64,float64
ACS,pct_units_pre1980,float64,float64
NFIP,year,int64,Int64
NFIP,state,object,string
NFIP,county_fips,int64,string
NFIP,county_name,object,string
NFIP,nfip_claim_count,int64,int64
NFIP,avg_building_payout_usd,int64,int64
NFIP,avg_contents_payout_usd,int64,int64
NFIP,total_nfip_payout_usd,int64,int64
