Variable,count,mean,std,min,25%,50%,75%,max
year,903.0,2011.5858250276856,6.9426777584125015,2000.0,2006.0,2012.0,2018.0,2023.0
hazard_event_count,903.0,1.3289036544850499,0.5624183750758803,1.0,1.0,1.0,2.0,4.0
event_type_count,903.0,1.204872646733112,0.4199812058332927,1.0,1.0,1.0,1.0,3.0
wind_speed_mph,903.0,81.0234772978959,32.22564915911671,0.0,58.349999999999994,80.8,103.45,214.8
hail_size_inches,903.0,0.6869767441860464,1.0568267391889627,0.0,0.0,0.0,1.435,4.29
flood_depth_feet,903.0,0.3489811738648948,0.9596644962284782,0.0,0.0,0.0,0.0,5.79
storm_duration_hours,903.0,8.474640088593576,5.064835649162298,0.5,4.8,7.9,11.1,29.4
property_damage_usd,903.0,98568.3942414175,154058.84049067812,0.0,19463.0,50985.0,109587.5,1741383.0
nfip_claim_count,903.0,52.40199335548173,76.66955527167545,0.0,14.0,30.0,57.0,794.0
avg_building_payout_usd,903.0,50209.874861572534,46112.10163576399,0.0,21733.5,37758.0,63691.0,546465.0
avg_contents_payout_usd,903.0,11954.436323366555,8665.447486285431,0.0,6149.5,9575.0,15290.0,70748.0
total_nfip_payout_usd,903.0,3206491.811738649,6873541.195270637,0.0,585522.0,1538560.0,3619750.0,157494477.0
nfip_record_available,903.0,0.9988925802879292,0.03327791628198609,0.0,1.0,1.0,1.0,1.0
median_income_usd,903.0,76172.03433001107,21205.493884059648,39156.0,62880.5,72044.0,83312.0,183633.0
population_density_per_sq_mi,903.0,2050.0,2343.73615638188,278.0,656.5,1378.0,2440.0,13171.0
housing_age_median_years,903.0,48.67995570321152,10.702928044893953,22.0,41.0,48.0,55.0,78.0
vacancy_rate_pct,903.0,11.562126245847177,3.7665002425555083,5.0,8.2,11.7,14.8,18.0
homeownership_rate_pct,903.0,63.10753045404208,6.270770258698311,52.0,57.75,63.1,68.4,74.0
pct_units_pre1980,903.0,56.69789590254706,13.141358605150067,20.2,47.4,56.5,64.6,95.0
total_observed_loss_usd,903.0,3305060.2059800667,6886983.014309624,15280.0,677489.5,1629493.0,3737035.5,157594962.0
log_property_damage,903.0,10.703854475872047,1.4656730787841394,0.0,9.876318451670045,10.839306364217828,11.60448701195882,14.370190757324794
log_total_nfip_payout,903.0,14.178963903917252,1.3546296625430638,0.0,13.280255220974905,14.246358121967008,15.101910723805739,18.874900955297875
log_total_observed_loss,903.0,14.28323810949742,1.2017021311916831,9.634365505605258,13.426150159426385,14.303780095141898,15.133786895523057,18.8755387742174
severity_metric,903.0,0.3949372317158657,0.08186679038673528,0.1388534400364155,0.33587828979387596,0.3829986101429785,0.4529888177168274,0.6545977596852817
high_severity_flag,903.0,0.20044296788482835,0.4005536949548187,0.0,0.0,0.0,0.0,1.0
socioeconomic_resilience_index,903.0,-3.776971352877609e-16,0.5071123392518292,-1.362346346306292,-0.352144884864857,0.0406203529129999,0.3464318157526295,1.4950556341396868
wind_speed_mph_outlier_flag,903.0,0.004429678848283499,0.06644505995033506,0.0,0.0,0.0,0.0,1.0
hail_size_inches_outlier_flag,903.0,0.009966777408637873,0.09939004109949147,0.0,0.0,0.0,0.0,1.0
flood_depth_feet_outlier_flag,903.0,0.18161683277962348,0.38574206342401124,0.0,0.0,0.0,0.0,1.0
storm_duration_hours_outlier_flag,903.0,0.02768549280177187,0.16416104890557304,0.0,0.0,0.0,0.0,1.0
property_damage_usd_outlier_flag,903.0,0.08637873754152824,0.28107817929065393,0.0,0.0,0.0,0.0,1.0
nfip_claim_count_outlier_flag,903.0,0.09191583610188261,0.28906720845109957,0.0,0.0,0.0,0.0,1.0
total_nfip_payout_usd_outlier_flag,903.0,0.08305647840531562,0.27612050319266723,0.0,0.0,0.0,0.0,1.0
median_income_usd_outlier_flag,903.0,0.06201550387596899,0.2413173651289939,0.0,0.0,0.0,0.0,1.0
population_density_per_sq_mi_outlier_flag,903.0,0.09966777408637874,0.2997225256567477,0.0,0.0,0.0,0.0,1.0
