Variable,Missing Count,Missing Percentage
year,0,0.0
state,0,0.0
county_fips,0,0.0
county_name,0,0.0
hazard_event_count,0,0.0
event_type_count,0,0.0
dominant_event_type,0,0.0
wind_speed_mph,0,0.0
hail_size_inches,0,0.0
flood_depth_feet,0,0.0
storm_duration_hours,0,0.0
property_damage_usd,0,0.0
nfip_claim_count,0,0.0
avg_building_payout_usd,0,0.0
avg_contents_payout_usd,0,0.0
total_nfip_payout_usd,0,0.0
nfip_record_available,0,0.0
median_income_usd,0,0.0
population_density_per_sq_mi,0,0.0
housing_age_median_years,0,0.0
construction_type,0,0.0
vacancy_rate_pct,0,0.0
homeownership_rate_pct,0,0.0
pct_units_pre1980,0,0.0
total_observed_loss_usd,0,0.0
log_property_damage,0,0.0
log_total_nfip_payout,0,0.0
log_total_observed_loss,0,0.0
severity_metric,0,0.0
high_severity_flag,0,0.0
socioeconomic_resilience_index,0,0.0
wind_speed_mph_outlier_flag,0,0.0
hail_size_inches_outlier_flag,0,0.0
flood_depth_feet_outlier_flag,0,0.0
storm_duration_hours_outlier_flag,0,0.0
property_damage_usd_outlier_flag,0,0.0
nfip_claim_count_outlier_flag,0,0.0
total_nfip_payout_usd_outlier_flag,0,0.0
median_income_usd_outlier_flag,0,0.0
population_density_per_sq_mi_outlier_flag,0,0.0
