year,mean_severity,median_severity,max_severity,total_property_damage,total_nfip_payout,hazard_event_count,severity_3yr_moving_average
2000,0.38209094768409235,0.3695241222050327,0.5513748853752801,2267918,125284961.0,50,0.3774507909465164
2001,0.37281063420894045,0.3543053776701892,0.516984744403462,3480584,91622760.0,50,0.3779069797466866
2002,0.37881935734702704,0.3651560588303031,0.545717528511725,2942564,80799614.0,50,0.3779126413614064
2003,0.38210793252825165,0.3643877584754207,0.5478244340799115,3726130,182429818.0,50,0.3825775530538951
2004,0.38680536928640674,0.38242562305819144,0.5194105531497718,4506794,145848142.0,50,0.3881549866223182
2005,0.3955516580522961,0.3877724799676681,0.6098800792015805,5242054,104165814.0,50,0.39062938993426694
2006,0.38953114246409803,0.3807385184799647,0.5943299464144364,3334711,107009245.0,50,0.3869553458071627
2007,0.375783236905094,0.38006686594679473,0.5689896046581989,3008975,97559342.0,50,0.38605139708136754
2008,0.39283981187491057,0.3719498473009284,0.6278070789955449,3737502,58857076.0,50,0.38771534073707903
2009,0.3945229734312324,0.4040892197697139,0.5290217842050403,2594923,79267057.0,50,0.3889699445527331
2010,0.3795470483520563,0.3752462789704726,0.5636307239534002,3149294,97333492.0,50,0.38450947761769344
2011,0.37945841106979167,0.3808273848548701,0.5800171103359086,3496110,97532615.0,50,0.3895513332281319
2012,0.4096485402625476,0.3862078042645868,0.6545977596852817,3578332,140286796.0,50,0.39342330249667556
2013,0.39116295615768737,0.3800899725503851,0.6191414439037649,3636370,91186822.0,50,0.39716581905918885
2014,0.39068596075733136,0.3687652721986604,0.5944823734812134,3190072,99350197.0,50,0.3946628641139244
2015,0.40213967542675444,0.3793117230020624,0.5791144293044023,4200283,119815080.0,50,0.3965198171925733
2016,0.39673381539363417,0.383116055829659,0.5708664878550601,3574041,166626219.0,50,0.4042561867275876
2017,0.4138950693623742,0.4065390740161592,0.6124120980771227,4077133,116932142.0,50,0.4064322746781465
2018,0.4086679392784312,0.3993249641789774,0.5937236059992638,3688459,277059701.0,50,0.40689480389136934
2019,0.39812140303330273,0.3606373761210399,0.6250312089639981,4095430,110111028.0,50,0.4082000204566231
2020,0.4178107190581354,0.4115556516465477,0.6380789079412269,5065048,158055935.0,50,0.4098843962824234
2021,0.4137210667558321,0.401703012469229,0.6361481355830332,3021868,99529617.0,50,0.41198499979483866
2022,0.4044232135705486,0.3815938429513175,0.5344338989092943,3368032,114683491.0,50,0.41330309828113343
2023,0.4217650145170196,0.4104571430583085,0.6480863565633531,6024633,134115142.0,50,0.4130941140437841
