county_fips,county_name,state,observations,mean_severity,max_severity,high_severity_count,total_observed_loss
12086,Miami-Dade,FL,13,0.4981756932398432,0.6124120980771227,9,56265262.0
40109,Oklahoma,OK,16,0.4905745805382016,0.6545977596852817,7,60474029.0
22071,Orleans,LA,15,0.4905114246691235,0.6250312089639981,10,155286290.0
12057,Hillsborough,FL,10,0.47866312051295556,0.6380789079412269,5,51456207.0
12095,Orange,FL,14,0.46954808761925143,0.5943299464144364,7,119171297.0
22033,East Baton Rouge,LA,14,0.4645973738063865,0.5943068416950359,8,102583402.0
01097,Mobile,AL,19,0.4640803769290775,0.5944823734812134,9,115576493.0
20173,Sedgwick,KS,17,0.45976920017625345,0.6191414439037649,8,53785828.0
48439,Tarrant,TX,10,0.45772733187687714,0.5636307239534002,6,17576412.0
19153,Polk,IA,24,0.4520524969913373,0.5818673421727957,9,56773361.0
48201,Harris,TX,10,0.4477387793400479,0.5991206052082517,3,41262608.0
40143,Tulsa,OK,20,0.4466056344218764,0.5766048753040937,9,42769605.0
48113,Dallas,TX,12,0.44582202781267793,0.5819095023911082,6,35735518.0
01073,Jefferson,AL,13,0.4437286494187519,0.5276146158670063,4,36010850.0
08041,El Paso,CO,17,0.44352795815830026,0.5523614026983122,5,28525967.0
31055,Douglas,NE,24,0.44117615097065127,0.6098800792015805,10,47166832.0
20091,Johnson,KS,15,0.4345729750689014,0.5937236059992638,6,45537912.0
48029,Bexar,TX,14,0.4322737874691313,0.5422267283727084,3,20900520.0
05119,Pulaski,AR,24,0.4310184386925342,0.5758152060190277,7,74992259.0
28049,Hinds,MS,24,0.4273746732892814,0.578371684933093,9,50992370.0
18097,Marion,IN,24,0.42015360256198875,0.5512605301766359,6,278934202.0
29095,Jackson,MO,24,0.41749429510484665,0.545717528511725,6,83746148.0
27053,Hennepin,MN,16,0.41466450727832954,0.5380481455946869,4,36244098.0
47037,Davidson,TN,13,0.4074880158651987,0.4965378564132585,2,24976955.0
13089,Dekalb,GA,24,0.4067943518821433,0.5344338989092943,3,59967096.0
47157,Shelby,TN,17,0.40670207479901,0.5165021991106682,1,33449488.0
17167,Sangamon,IL,12,0.40317612723794527,0.5494690447798004,3,27314258.0
27003,Anoka,MN,16,0.40258741927285224,0.5306176004343063,3,42324523.0
37119,Mecklenburg,NC,24,0.3995402960513026,0.5301911106935767,4,64360020.0
08031,Denver,CO,14,0.38967039389775765,0.5109259747611342,3,26574248.0
45045,Greenville,SC,24,0.3829895000187801,0.4663189287169982,0,84169278.0
39049,Franklin,OH,18,0.38205985500798517,0.5322033876581248,2,38297482.0
36103,Suffolk,NY,15,0.3675307228565852,0.4728720395778041,2,40474958.0
26081,Kent,MI,24,0.36036958861855356,0.4536776434750478,0,79196652.0
39035,Cuyahoga,OH,15,0.3528132004737333,0.4174155386463865,0,53574822.0
55079,Milwaukee,WI,24,0.3490216222904145,0.4623677960039433,0,70827176.0
41051,Multnomah,OR,24,0.34858568138596796,0.4171411131386771,0,73354079.0
42101,Philadelphia,PA,24,0.3483556100249184,0.4547701929092823,0,59461869.0
17031,Cook,IL,15,0.34350519346497577,0.4351283611752263,0,32252202.0
36029,Erie,NY,14,0.3413377917361315,0.5303930673393976,1,38156160.0
51059,Fairfax,VA,24,0.335924556472917,0.4621701354093983,0,91349288.0
32003,Clark,NV,24,0.33544501509815444,0.4807305997105849,1,48711486.0
34013,Essex,NJ,24,0.3340142511143655,0.445552956030264,0,45185957.0
36059,Nassau,NY,13,0.3276445417188389,0.3771409947821402,0,27562895.0
49035,Salt Lake,UT,24,0.3227955077993681,0.4329059599185695,0,92141743.0
48141,El Paso,TX,8,0.3200958350754994,0.4253121243297467,0,16209713.0
04013,Maricopa,AZ,24,0.3170426884807758,0.4344829223655437,0,60063499.0
53033,King,WA,24,0.3138498504979192,0.3717141557090697,0,93056952.0
06037,Los Angeles,CA,15,0.3116988863747465,0.3562855448510079,0,18535629.0
06073,San Diego,CA,17,0.2991440574997815,0.4136646619042562,0,31153468.0
