,severity_metric,wind_speed_mph,flood_depth_feet,hail_size_inches,storm_duration_hours,log_property_damage,log_total_nfip_payout,nfip_claim_count,median_income_usd,population_density_per_sq_mi,housing_age_median_years,vacancy_rate_pct,homeownership_rate_pct,pct_units_pre1980,socioeconomic_resilience_index
severity_metric,1.0,0.7098605025714636,0.38022254635239394,0.5853317721512178,0.5756447009553152,0.5681948126227501,0.25989119442405156,0.23166230956276176,-0.2010043050253214,-0.20158710501979868,-0.019521537580082095,-0.06743188553315539,-0.05543205617502179,-0.00796720109567369,-0.06373548095229946
wind_speed_mph,0.7098605025714636,1.0,0.28972621919434927,0.25182483986661447,0.1750571709447531,0.46471901963102125,0.14662099045544272,0.1746280386329559,-0.20360530699765247,-0.21112843465301098,0.0020609739131638456,-0.06037096481638907,-0.05137817376609906,0.013142137852201837,-0.08279502785718469
flood_depth_feet,0.38022254635239394,0.28972621919434927,1.0,-0.23664755750970795,0.06336276893664566,0.08551535965660413,0.22328036867874773,0.3431250721471369,-0.1369060122389485,0.005658995616040775,0.08300975741647877,0.006325139462825756,0.03289739187611282,0.05444043274020667,-0.09777765014453768
hail_size_inches,0.5853317721512178,0.25182483986661447,-0.23664755750970795,1.0,0.17602387698758096,0.16945293626659488,-0.07691860011226544,-0.09625191477090189,-0.09309814036581161,-0.20742779436361736,-0.13058802186605967,-0.06467314430706096,-0.07776193863009462,-0.11305614002863816,0.054241788753991604
storm_duration_hours,0.5756447009553152,0.1750571709447531,0.06336276893664566,0.17602387698758096,1.0,0.2492446630804002,0.02722197963950345,0.02460977670343867,-0.04206279941012896,-0.050966676113175166,0.01706415129252572,-0.052384348204318365,-0.024372382069868442,0.041097832506002865,-0.028495790644779098
log_property_damage,0.5681948126227501,0.46471901963102125,0.08551535965660413,0.16945293626659488,0.2492446630804002,1.0,0.10846857414105326,0.07478804243712263,-0.11954255245322697,-0.077227266277594,0.01528526619080824,0.006522779521227516,-0.015715069046491007,0.017009615821670748,-0.06869158444066364
log_total_nfip_payout,0.25989119442405156,0.14662099045544272,0.22328036867874773,-0.07691860011226544,0.02722197963950345,0.10846857414105326,1.0,0.5920817601682812,-0.0417605868946526,-0.005224042882725455,0.055228524568929384,-0.009285941224285577,0.0008054809783226113,0.05580639807812551,-0.05631224430408851
nfip_claim_count,0.23166230956276176,0.1746280386329559,0.3431250721471369,-0.09625191477090189,0.02460977670343867,0.07478804243712263,0.5920817601682812,1.0,-0.04766610057161347,-0.01558378562222648,0.07695137096490816,0.039418425009379435,0.017963723652406165,0.06742568446111485,-0.08424806693296592
median_income_usd,-0.2010043050253214,-0.20360530699765247,-0.1369060122389485,-0.09309814036581161,-0.04206279941012896,-0.11954255245322697,-0.0417605868946526,-0.04766610057161347,1.0,0.0033712310544069444,0.14113912696148087,0.05069926833265692,0.021967288905146532,0.14860940502366493,0.26893337573529247
population_density_per_sq_mi,-0.20158710501979868,-0.21112843465301098,0.005658995616040775,-0.20742779436361736,-0.050966676113175166,-0.077227266277594,-0.005224042882725455,-0.01558378562222648,0.0033712310544069444,1.0,0.5739316090597608,0.09043233657264291,0.038725267229846386,0.5297307723414891,-0.4545882770049019
housing_age_median_years,-0.019521537580082095,0.0020609739131638456,0.08300975741647877,-0.13058802186605967,0.01706415129252572,0.01528526619080824,0.055228524568929384,0.07695137096490816,0.14113912696148087,0.5739316090597608,1.0,0.05981677541529767,-0.008018459537061073,0.9194581197478089,-0.7285081305934188
vacancy_rate_pct,-0.06743188553315539,-0.06037096481638907,0.006325139462825756,-0.06467314430706096,-0.052384348204318365,0.006522779521227516,-0.009285941224285577,0.039418425009379435,0.05069926833265692,0.09043233657264291,0.05981677541529767,1.0,-0.0011684290985522518,0.04440863174118539,-0.4161914299897378
homeownership_rate_pct,-0.05543205617502179,-0.05137817376609906,0.03289739187611282,-0.07776193863009462,-0.024372382069868442,-0.015715069046491007,0.0008054809783226113,0.017963723652406165,0.021967288905146532,0.038725267229846386,-0.008018459537061073,-0.0011684290985522518,1.0,0.003413187508219094,0.4055553193407472
pct_units_pre1980,-0.00796720109567369,0.013142137852201837,0.05444043274020667,-0.11305614002863816,0.041097832506002865,0.017009615821670748,0.05580639807812551,0.06742568446111485,0.14860940502366493,0.5297307723414891,0.9194581197478089,0.04440863174118539,0.003413187508219094,1.0,-0.7149690861880035
socioeconomic_resilience_index,-0.06373548095229946,-0.08279502785718469,-0.09777765014453768,0.054241788753991604,-0.028495790644779098,-0.06869158444066364,-0.05631224430408851,-0.08424806693296592,0.26893337573529247,-0.4545882770049019,-0.7285081305934188,-0.4161914299897378,0.4055553193407472,-0.7149690861880035,1.0
