Variable 1,Variable 2,Correlation,Absolute Correlation
housing_age_median_years,pct_units_pre1980,0.9194581197478089,0.9194581197478089
housing_age_median_years,socioeconomic_resilience_index,-0.7285081305934188,0.7285081305934188
pct_units_pre1980,socioeconomic_resilience_index,-0.7149690861880035,0.7149690861880035
severity_metric,wind_speed_mph,0.7098605025714636,0.7098605025714636
log_total_nfip_payout,nfip_claim_count,0.5920817601682812,0.5920817601682812
severity_metric,hail_size_inches,0.5853317721512178,0.5853317721512178
severity_metric,storm_duration_hours,0.5756447009553152,0.5756447009553152
population_density_per_sq_mi,housing_age_median_years,0.5739316090597608,0.5739316090597608
severity_metric,log_property_damage,0.5681948126227501,0.5681948126227501
population_density_per_sq_mi,pct_units_pre1980,0.5297307723414891,0.5297307723414891
wind_speed_mph,log_property_damage,0.46471901963102125,0.46471901963102125
population_density_per_sq_mi,socioeconomic_resilience_index,-0.4545882770049019,0.4545882770049019
vacancy_rate_pct,socioeconomic_resilience_index,-0.4161914299897378,0.4161914299897378
homeownership_rate_pct,socioeconomic_resilience_index,0.4055553193407472,0.4055553193407472
severity_metric,flood_depth_feet,0.38022254635239394,0.38022254635239394
flood_depth_feet,nfip_claim_count,0.3431250721471369,0.3431250721471369
wind_speed_mph,flood_depth_feet,0.28972621919434927,0.28972621919434927
median_income_usd,socioeconomic_resilience_index,0.26893337573529247,0.26893337573529247
severity_metric,log_total_nfip_payout,0.25989119442405156,0.25989119442405156
wind_speed_mph,hail_size_inches,0.25182483986661447,0.25182483986661447
storm_duration_hours,log_property_damage,0.2492446630804002,0.2492446630804002
flood_depth_feet,hail_size_inches,-0.23664755750970795,0.23664755750970795
severity_metric,nfip_claim_count,0.23166230956276176,0.23166230956276176
flood_depth_feet,log_total_nfip_payout,0.22328036867874773,0.22328036867874773
wind_speed_mph,population_density_per_sq_mi,-0.21112843465301098,0.21112843465301098
hail_size_inches,population_density_per_sq_mi,-0.20742779436361736,0.20742779436361736
wind_speed_mph,median_income_usd,-0.20360530699765247,0.20360530699765247
severity_metric,population_density_per_sq_mi,-0.20158710501979868,0.20158710501979868
severity_metric,median_income_usd,-0.2010043050253214,0.2010043050253214
hail_size_inches,storm_duration_hours,0.17602387698758096,0.17602387698758096
wind_speed_mph,storm_duration_hours,0.1750571709447531,0.1750571709447531
wind_speed_mph,nfip_claim_count,0.1746280386329559,0.1746280386329559
hail_size_inches,log_property_damage,0.16945293626659488,0.16945293626659488
median_income_usd,pct_units_pre1980,0.14860940502366493,0.14860940502366493
wind_speed_mph,log_total_nfip_payout,0.14662099045544272,0.14662099045544272
median_income_usd,housing_age_median_years,0.14113912696148087,0.14113912696148087
flood_depth_feet,median_income_usd,-0.1369060122389485,0.1369060122389485
hail_size_inches,housing_age_median_years,-0.13058802186605967,0.13058802186605967
log_property_damage,median_income_usd,-0.11954255245322697,0.11954255245322697
hail_size_inches,pct_units_pre1980,-0.11305614002863816,0.11305614002863816
log_property_damage,log_total_nfip_payout,0.10846857414105326,0.10846857414105326
flood_depth_feet,socioeconomic_resilience_index,-0.09777765014453768,0.09777765014453768
hail_size_inches,nfip_claim_count,-0.09625191477090189,0.09625191477090189
hail_size_inches,median_income_usd,-0.09309814036581161,0.09309814036581161
population_density_per_sq_mi,vacancy_rate_pct,0.09043233657264291,0.09043233657264291
flood_depth_feet,log_property_damage,0.08551535965660413,0.08551535965660413
nfip_claim_count,socioeconomic_resilience_index,-0.08424806693296592,0.08424806693296592
flood_depth_feet,housing_age_median_years,0.08300975741647877,0.08300975741647877
wind_speed_mph,socioeconomic_resilience_index,-0.08279502785718469,0.08279502785718469
hail_size_inches,homeownership_rate_pct,-0.07776193863009462,0.07776193863009462
log_property_damage,population_density_per_sq_mi,-0.077227266277594,0.077227266277594
nfip_claim_count,housing_age_median_years,0.07695137096490816,0.07695137096490816
hail_size_inches,log_total_nfip_payout,-0.07691860011226544,0.07691860011226544
log_property_damage,nfip_claim_count,0.07478804243712263,0.07478804243712263
log_property_damage,socioeconomic_resilience_index,-0.06869158444066364,0.06869158444066364
severity_metric,vacancy_rate_pct,-0.06743188553315539,0.06743188553315539
nfip_claim_count,pct_units_pre1980,0.06742568446111485,0.06742568446111485
hail_size_inches,vacancy_rate_pct,-0.06467314430706096,0.06467314430706096
severity_metric,socioeconomic_resilience_index,-0.06373548095229946,0.06373548095229946
flood_depth_feet,storm_duration_hours,0.06336276893664566,0.06336276893664566
wind_speed_mph,vacancy_rate_pct,-0.06037096481638907,0.06037096481638907
housing_age_median_years,vacancy_rate_pct,0.05981677541529767,0.05981677541529767
log_total_nfip_payout,socioeconomic_resilience_index,-0.05631224430408851,0.05631224430408851
log_total_nfip_payout,pct_units_pre1980,0.05580639807812551,0.05580639807812551
severity_metric,homeownership_rate_pct,-0.05543205617502179,0.05543205617502179
log_total_nfip_payout,housing_age_median_years,0.055228524568929384,0.055228524568929384
flood_depth_feet,pct_units_pre1980,0.05444043274020667,0.05444043274020667
hail_size_inches,socioeconomic_resilience_index,0.054241788753991604,0.054241788753991604
storm_duration_hours,vacancy_rate_pct,-0.052384348204318365,0.052384348204318365
wind_speed_mph,homeownership_rate_pct,-0.05137817376609906,0.05137817376609906
storm_duration_hours,population_density_per_sq_mi,-0.050966676113175166,0.050966676113175166
median_income_usd,vacancy_rate_pct,0.05069926833265692,0.05069926833265692
nfip_claim_count,median_income_usd,-0.04766610057161347,0.04766610057161347
vacancy_rate_pct,pct_units_pre1980,0.04440863174118539,0.04440863174118539
storm_duration_hours,median_income_usd,-0.04206279941012896,0.04206279941012896
log_total_nfip_payout,median_income_usd,-0.0417605868946526,0.0417605868946526
storm_duration_hours,pct_units_pre1980,0.041097832506002865,0.041097832506002865
nfip_claim_count,vacancy_rate_pct,0.039418425009379435,0.039418425009379435
population_density_per_sq_mi,homeownership_rate_pct,0.038725267229846386,0.038725267229846386
flood_depth_feet,homeownership_rate_pct,0.03289739187611282,0.03289739187611282
storm_duration_hours,socioeconomic_resilience_index,-0.028495790644779098,0.028495790644779098
storm_duration_hours,log_total_nfip_payout,0.02722197963950345,0.02722197963950345
storm_duration_hours,nfip_claim_count,0.02460977670343867,0.02460977670343867
storm_duration_hours,homeownership_rate_pct,-0.024372382069868442,0.024372382069868442
median_income_usd,homeownership_rate_pct,0.021967288905146532,0.021967288905146532
severity_metric,housing_age_median_years,-0.019521537580082095,0.019521537580082095
nfip_claim_count,homeownership_rate_pct,0.017963723652406165,0.017963723652406165
storm_duration_hours,housing_age_median_years,0.01706415129252572,0.01706415129252572
log_property_damage,pct_units_pre1980,0.017009615821670748,0.017009615821670748
log_property_damage,homeownership_rate_pct,-0.015715069046491007,0.015715069046491007
nfip_claim_count,population_density_per_sq_mi,-0.01558378562222648,0.01558378562222648
log_property_damage,housing_age_median_years,0.01528526619080824,0.01528526619080824
wind_speed_mph,pct_units_pre1980,0.013142137852201837,0.013142137852201837
log_total_nfip_payout,vacancy_rate_pct,-0.009285941224285577,0.009285941224285577
housing_age_median_years,homeownership_rate_pct,-0.008018459537061073,0.008018459537061073
severity_metric,pct_units_pre1980,-0.00796720109567369,0.00796720109567369
log_property_damage,vacancy_rate_pct,0.006522779521227516,0.006522779521227516
flood_depth_feet,vacancy_rate_pct,0.006325139462825756,0.006325139462825756
flood_depth_feet,population_density_per_sq_mi,0.005658995616040775,0.005658995616040775
log_total_nfip_payout,population_density_per_sq_mi,-0.005224042882725455,0.005224042882725455
homeownership_rate_pct,pct_units_pre1980,0.003413187508219094,0.003413187508219094
median_income_usd,population_density_per_sq_mi,0.0033712310544069444,0.0033712310544069444
wind_speed_mph,housing_age_median_years,0.0020609739131638456,0.0020609739131638456
vacancy_rate_pct,homeownership_rate_pct,-0.0011684290985522518,0.0011684290985522518
log_total_nfip_payout,homeownership_rate_pct,0.0008054809783226113,0.0008054809783226113
