Feature,Importance
hail_size_inches,0.19164206027618283
wind_speed_mph,0.1790757554681558
storm_duration_hours,0.11976434743188587
flood_depth_feet,0.08638176132585239
dominant_event_type,0.07306247509458702
hazard_event_count,0.04991134200701221
event_type_count,0.04903683554889301
nfip_claim_count,0.048260940561028455
total_nfip_payout_usd,0.036344089422780626
population_density_per_sq_mi,0.03142435609929233
median_income_usd,0.022615734028763025
avg_building_payout_usd,0.017357695075450326
vacancy_rate_pct,0.016763864405960543
year,0.01662475262126538
pct_units_pre1980,0.01586555426979551
homeownership_rate_pct,0.015014698544067328
avg_contents_payout_usd,0.01428782281906538
housing_age_median_years,0.012251352969686605
construction_type,0.004314562030275256
