Feature,Permutation Importance Mean,Permutation Importance SD
hail_size_inches,0.0781399631675875,0.008794772800605487
wind_speed_mph,0.04593615715162678,0.010962707301557979
storm_duration_hours,0.025089011663597328,0.004562410420563377
flood_depth_feet,0.02460405156537755,0.004409714773955266
event_type_count,0.0046470227133210695,0.0018294152531307616
dominant_event_type,0.0039901780233272234,0.00260603598541801
hazard_event_count,0.003959484346224701,0.002444380928827857
population_density_per_sq_mi,0.0009821976672805765,0.0018904913228760326
avg_contents_payout_usd,-1.2277470840987848e-05,0.0006247049347186436
construction_type,-6.75260896255081e-05,0.00034828871583805044
vacancy_rate_pct,-0.000276243093922629,0.0009642896299818951
pct_units_pre1980,-0.00046654389195822655,0.0004668668714998499
housing_age_median_years,-0.0006875383670963464,0.0006396079203256355
avg_building_payout_usd,-0.0007980356046654146,0.0007004617225584262
year,-0.0008348680171884282,0.0010173275622279677
homeownership_rate_pct,-0.0008717004297114417,0.000430412477420696
total_nfip_payout_usd,-0.001178637200736632,0.0012224563720460615
nfip_claim_count,-0.0017679558011049479,0.0018091677110005453
median_income_usd,-0.0020319214241865946,0.0005894145103047281
