p,d,q,AIC,BIC,Converged
0,1,1,-4.187601573151287,-0.7811189253638382,True
1,1,1,-4.068154898838602,0.4738219648779971,True
1,1,0,-3.9347263103101486,-0.5282436625226996,True
2,1,0,-3.889100078827136,0.6528767848894628,True
0,1,2,-3.8295205022420173,0.7124563614745814,True
2,1,1,-2.0829749922246226,3.594496087421126,True
1,1,2,-2.078027438170844,3.5994436414749043,True
3,1,0,-2.007509351083087,3.6699617285626616,True
2,1,2,-0.10563152573657142,6.707333769838327,True
1,0,1,5.968050779885471,10.680266101277255,True
2,0,0,6.229785173791129,10.942000495182912,True
3,0,0,6.271036060795863,12.161305212535591,True
0,1,0,6.569616350899582,8.840604782757882,True
2,0,2,11.49432620741294,18.562649189500615,True
1,0,0,16.737599622784376,20.271761113828212,True
0,0,2,118.77609596042439,123.48831128181617,True
0,0,1,139.7795480237257,143.31370951476956,True
0,1,3,-2.356901312075408,3.3205697675703405,False
3,1,1,-1.323091758226001,5.489873537348897,False
1,1,3,-1.186311241716096,5.626654053858802,False
3,1,2,0.6563397342819002,8.604799245785948,False
3,1,3,2.890505535982321,11.974459263415518,False
2,1,3,3.508643638800594,11.457103150304642,False
1,0,2,6.329998428576936,12.220267580316666,False
1,0,3,8.022103438895822,15.090426420983498,False
2,0,3,10.167098355879098,18.41347516831472,False
3,0,1,13.088035178846965,20.15635816093464,False
2,0,1,13.930584748457253,19.82085390019698,False
3,0,3,14.169552251328202,23.593982894111768,False
3,0,2,17.49421151263298,25.7405883250686,False
0,0,3,104.47266348322972,110.36293263496945,False
